Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
984,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,663,UAE18663,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.1,28.6,0.274,UAE18663_HETEVULG_24.1,25.48209,56.36566,Vial,
1580,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.5,25.7,0.274,UAE18---_HETEVULG_21.5,25.48241,56.36623,NPNT-Lot,
854,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.6,25.7,0.275,UAE18---_HETEVULG_21.6,25.49257,56.36386,NPNT-Lot,mottled dorsal
1569,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.6,25.8,0.275,UAE18---_HETEVULG_21.6,25.48241,56.36623,NPNT-Lot,
402,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.2,26.8,0.277,UAE18---_HETEVULG_22.2,25.48247,56.36955,NPNT-Lot,black dorsal
481,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.8,28.7,0.279,UAE18---_HETEVULG_22.8,25.49182,56.36369,NPNT-Lot,mottled dorsal
863,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.9,25.2,0.279,UAE18---_HETEVULG_20.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
801,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.2,24,0.28,UAE18---_HETEVULG_20.2,25.49257,56.36386,NPNT-Lot,mottled dorsal
1068,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.8,26,0.281,UAE18---_HETEVULG_21.8,25.48209,56.36566,NPNT-Lot,
1082,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,25.9,0.285,UAE18---_HETEVULG_22.9,25.48209,56.36566,NPNT-Lot,
1594,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.1,25.9,0.285,UAE18---_HETEVULG_22.1,25.48241,56.36623,NPNT-Lot,
833,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.1,24.6,0.288,UAE18---_HETEVULG_20.1,25.49257,56.36386,NPNT-Lot,mottled dorsal
845,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.9,26.4,0.288,UAE18---_HETEVULG_21.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
671,GoO,Snoopy,SnoopyI,B12,Rockyreef,2/5/18,4.6,240,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,27.8,0.29,UAE18---_HETEVULG_22.9,25.49257,56.36386,NPNT-Lot,black dorsal
