"","module","xval","ID.match","taxloc","Location","Tax"
"57",1,"ENNEVENT.GoO_UAE18321.1","UAE18321.1","ENNEVENT.GoO","GoO","ENNEVENT"
"58",1,"ENNEVENT.GoO_UAE18409.1","UAE18409.1","ENNEVENT.GoO","GoO","ENNEVENT"
"59",1,"ENNEVENT.GoO_UAE18482.1","UAE18482.1","ENNEVENT.GoO","GoO","ENNEVENT"
"60",1,"ENNEVENT.GoO_UAE18859.1","UAE18859.1","ENNEVENT.GoO","GoO","ENNEVENT"
"61",1,"ENNEVENT.GoO_UAE18861.1","UAE18861.1","ENNEVENT.GoO","GoO","ENNEVENT"
"62",1,"ENNEVENT.GoO_UAE18324.1","UAE18324.1","ENNEVENT.GoO","GoO","ENNEVENT"
"63",1,"ENNEVENT.GoO_UAE18478.1","UAE18478.1","ENNEVENT.GoO","GoO","ENNEVENT"
"64",1,"ENNEVENT.GoO_UAE18635.1","UAE18635.1","ENNEVENT.GoO","GoO","ENNEVENT"
"65",1,"ENNEVENT.GoO_UAE18413.1","UAE18413.1","ENNEVENT.GoO","GoO","ENNEVENT"
"66",1,"EVIOGUTT.GoO_UAE18290.1","UAE18290.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"67",1,"EVIOGUTT.GoO_UAE18841.1","UAE18841.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"68",1,"EVIOGUTT.GoO_UAE18840.1","UAE18840.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"69",1,"EVIOGUTT.GoO_UAE18575.1","UAE18575.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"70",1,"EVIOGUTT.GoO_UAE18286.1","UAE18286.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"71",1,"EVIOGUTT.GoO_UAE18744.1","UAE18744.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"72",3,"EVIOGUTT.GoO_UAE18568.1","UAE18568.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"73",4,"EVIOGUTT.GoO_UAE18388.1","UAE18388.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"74",5,"EVIOGUTT.GoO_UAE18514.1","UAE18514.1","EVIOGUTT.GoO","GoO","EVIOGUTT"
"75",1,"HETEVULG.GoO_UAE18340.1","UAE18340.1","HETEVULG.GoO","GoO","HETEVULG"
"76",2,"HETEVULG.GoO_UAE18330.1","UAE18330.1","HETEVULG.GoO","GoO","HETEVULG"
"77",4,"HETEVULG.GoO_UAE18804.1","UAE18804.1","HETEVULG.GoO","GoO","HETEVULG"
"78",4,"HETEVULG.GoO_UAE18404.1","UAE18404.1","HETEVULG.GoO","GoO","HETEVULG"
